Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL versiongroup=Notea1,Forks
Linux,GPL/LGPL,Monolithic with modules,C,1:1,Unix-like,3.16,elks
FreeBSD,"BSD; GPL, LGPL software usually included",Monolithic with modules,C,1:1,"BSD, Unix-like",11,DragonFly BSD
OpenBSD,BSD,Monolithic,C,1:1,"BSD, Unix-like",6.4,MirOS
NetBSD,BSD,Monolithic with modules,C,1:1,"BSD, Unix-like",7.0,OpenBSD
DragonFly BSD,BSD,Hybrid,C,1:1,"BSD, Unix-like",,
"OpenSolaris, illumos",CDDL,Monolithic with modules,C,"1:1, M:N",Unix,,
"Darwin, OpenDarwin",APSL,Hybrid,"C, C++group=Notea3",1:1,"BSD, Unix, Unix-like, OS X",,
MINIX,BSD,Microkernel,C,,Unix-like,,
RedoxOS,MIT,Microkernel,Rust,,Unix-like,,
FreeRTOS,MIT,RTOS,C,,RTOS,,
FreeDOS,GPL,Monolithic,C,,DOS,1.1,
Genode,AGPL,Microkernel,C++,1:1,Genode,,
Haiku,MIT,Hybrid,"C, C++",,BeOS,,TiltOS
House,BSD,,Haskell,,own/original,,
KolibriOS,GPL,Monolithic,ASM,,MenuetOS,,
MenuetOS,"Menuet 64, commerce excluded",Monolithic,ASM,,own/original,,KolibriOS
GNU,GPL,"https://www.gnu.org/software/hurd/faq/multiserver_microkernel.htmlMultiserver Microkernel (Hurd kernel) or Monolithic (Linux-libre kernel, fork of Linux kernel, and other kernels which are not part of the GNU Project)",C,1:1,Unix-like,2.4 on Linux-libre kernel (not on Hurd kernel),Linux
ReactOS,"GPL, LGPL",Hybrid,"C, C++",,Windows-like,,
RISC OS,Apache 2.0,Monolithic (with co-operative multitaslking),ARM assembly,,RISC OS,,RISC OS 6
"L4, Fiasco, Pistachio","Some GPL, some BSD",Microkernel,C++,,L4,,
Plan 9,LPL,Hybrid,C,"1:1, 1:M Cothread style.","own, Unix informed",,"Inferno, Plan B"
AROS,APL,Exokernel,C,,AmigaOS,,
Syllable,GPL,Monolithic with modules,"C, C++",1:1,"Unix-like, BeOS, AmigaOS, POSIX",,
Inferno,"GPL, LGPL; MIT",,C,,Plan 9,,OzInferno
NuttX,BSD,RTOS,C,,RTOS,,
eCos,"modified GPL, eCos",RTOS,"C, C++",,RTOS,,
RTEMS,"modified GPL, BSD, Stanford",RTOS,C and ASM with native support for other languages including C++ and Ada,"POSIX, RTEID/ORKID, uITRON",RTOS,4.7.1,
HelenOS,BSD,Microkernel,C,M:N,own/original,,
E/OS,GPLv2,Monolithic,"ASM, C",1:1,"BeOS, Unix-like",,
TempleOS,public domain,Monolithic,"HolyC, C, C++",,Commodore 64-like,,-
K42,,,,,,,
UnixLite,,,,,,,-->
Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL version,Forks
